科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
140101,教育學系,D 日,D 博士,69,77,55,84,56,79,53,67,50,62,46,48,35,54,12,12
140101,教育學系,D 日,M 碩士,111,281,99,278,58,148,48,122,0,0,0,0,0,0,3,10
140101,教育學系,D 日,B 學士,160,475,174,459,146,448,146,441,0,0,0,0,0,0,29,59
140101,教育學系,N 職,M 碩士,107,424,108,387,69,143,46,69,14,34,14,17,0,0,14,28
140101,教育學系,S 暑,M 碩士,5,9,12,46,3,2,0,0,0,0,0,3,0,0,10,8
140105,課程(與教學)研究所,D 日,D 博士,3,6,2,2,2,5,1,3,2,1,0,0,0,0,0,0
140105,課程(與教學)研究所,D 日,M 碩士,11,22,11,24,2,9,2,3,0,0,0,0,0,0,1,6
140105,課程(與教學)研究所,N 職,M 碩士,7,27,8,16,2,1,1,1,0,0,0,0,0,0,2,3
140106,教育專業發展研究所,D 日,M 碩士,9,19,6,7,1,1,0,1,0,0,0,0,0,0,0,0
140106,教育專業發展研究所,N 職,M 碩士,13,17,5,19,2,4,1,1,0,0,0,0,0,0,0,0
140107,(教育心理與)輔導學系,D 日,D 博士,8,3,6,4,2,4,0,9,8,5,2,6,0,1,0,0
140107,(教育心理與)輔導學系,D 日,M 碩士,13,45,12,42,14,33,8,48,0,0,0,0,0,0,0,0
140107,(教育心理與)輔導學系,D 日,B 學士,25,61,23,58,24,60,28,59,0,0,0,0,0,0,2,8
140107,(教育心理與)輔導學系,N 職,M 碩士,6,25,3,19,2,24,0,13,1,8,0,1,0,0,0,0
140108,教育心理與諮商學系,D 日,M 碩士,11,32,7,33,6,13,4,19,0,0,0,0,0,0,8,18
140108,教育心理與諮商學系,D 日,B 學士,9,31,6,39,5,40,12,31,0,0,0,0,0,0,0,2
140108,教育心理與諮商學系,N 職,M 碩士,7,17,2,22,5,12,0,5,0,5,0,6,1,2,2,7
140111,學習與教學研究所,D 日,D 博士,2,4,2,1,2,2,3,1,2,2,1,0,1,2,0,0
140111,學習與教學研究所,D 日,M 碩士,2,4,2,10,0,6,0,2,0,0,0,0,0,0,0,1
140113,技術及職業教育研究所,D 日,D 博士,9,11,9,9,6,8,6,8,1,8,3,2,1,2,0,0
140113,技術及職業教育研究所,D 日,M 碩士,10,36,18,32,8,14,9,5,0,0,0,0,0,0,0,0
140113,技術及職業教育研究所,N 職,M 碩士,24,43,9,51,0,13,7,3,0,1,0,0,0,0,0,0
140118,教師專業(發展)研究所,D 日,M 碩士,7,51,8,46,1,3,0,1,0,0,0,0,0,0,0,0
140119,家庭教育與諮商研究所,D 日,M 碩士,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
140119,家庭教育與諮商研究所,N 職,M 碩士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140120,課程設計與潛能開發學系,D 日,D 博士,9,6,10,12,8,8,6,6,4,3,2,4,5,2,2,1
140120,課程設計與潛能開發學系,D 日,M 碩士,14,15,8,21,13,10,8,16,0,0,0,0,0,0,1,3
140120,課程設計與潛能開發學系,D 日,B 學士,10,38,16,30,17,28,9,26,0,0,0,0,0,0,5,2
140120,課程設計與潛能開發學系,N 職,M 碩士,6,12,1,13,0,8,0,4,0,4,0,0,0,0,0,0
140121,國際文教與比較教育學系,D 日,D 博士,2,3,1,3,3,2,2,3,2,3,3,0,1,2,0,2
140121,國際文教與比較教育學系,D 日,M 碩士,1,9,2,2,3,6,3,4,0,0,0,0,0,0,1,2
140121,國際文教與比較教育學系,D 日,B 學士,10,45,7,49,7,41,9,48,0,0,0,0,0,0,3,11
140122,教育與學習科技學系,D 日,D 博士,3,6,3,5,1,8,5,2,3,5,3,5,3,1,3,1
140122,教育與學習科技學系,D 日,M 碩士,11,31,8,28,8,8,2,8,0,0,0,0,0,0,1,2
140122,教育與學習科技學系,D 日,B 學士,18,72,18,64,20,61,7,76,0,0,0,0,0,0,3,4
140122,教育與學習科技學系,N 職,M 碩士,15,47,12,33,8,3,0,1,1,0,1,0,1,2,0,3
140122,教育與學習科技學系,S 暑,M 碩士,0,0,0,0,0,16,1,4,0,5,0,2,0,2,1,0
140123,教學專業國際學位學程,D 日,M 碩士,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140201,公民教育與活動領導學系,D 日,D 博士,4,3,2,3,3,2,7,1,4,4,0,2,1,6,0,0
140201,公民教育與活動領導學系,D 日,M 碩士,7,15,8,14,6,11,3,12,0,0,0,0,0,0,0,0
140201,公民教育與活動領導學系,D 日,B 學士,25,59,18,69,19,60,18,60,0,0,0,0,0,0,4,8
140201,公民教育與活動領導學系,N 職,M 碩士,10,34,0,0,5,10,2,2,7,10,1,1,0,0,0,0
140201,公民教育與活動領導學系,S 暑,M 碩士,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
140202,語文教育學系,D 日,D 博士,2,3,3,3,2,3,0,4,3,0,1,3,0,1,0,0
140202,語文教育學系,D 日,M 碩士,6,15,3,12,2,12,4,1,0,0,0,0,0,0,0,1
140202,語文教育學系,D 日,B 學士,11,39,5,46,7,43,11,40,0,0,0,0,0,0,2,3
140202,語文教育學系,N 職,M 碩士,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140202,語文教育學系,S 暑,M 碩士,0,2,0,12,1,9,0,1,1,3,0,0,0,0,1,1
140203,華語(文)教學學系,D 日,D 博士,1,7,2,5,0,9,1,8,2,4,0,4,0,4,0,0
